Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
"SMC; NGC 0292",18.91,0.03,0.061,EB,2005MNRAS.357..304H,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",18.76,0.07,0.057,RR Lyrae,2000AcA....50..279U,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",18.86,0.07,0.059,RR Lyrae,2003AJ....125.1261D,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",18.93,0.24,0.061,RR Lyrae,2004AJ....128..736W,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",18.71,0.07,0.055,Red Clump,2000AcA....50..279U,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",18.85,0.06,0.059,Red Clump,2003AJ....125.1261D,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
"SMC; NGC 0292",19,...,0.063,Blue Supergiant,2003LNP...635..149B,52:44.0,+00:72:49.7,302.8,-44.3,SBS9P,34
And IX,24.42,0.07,0.766,TRGB,2005MNRAS.356..979M,52:53.0,+43:11:45.0,123.2,-19.7,dE,-40
And IX,24.48,0.2,0.79,TRGB,2004ApJ...612L.121Z,52:53.0,+43:11:45.0,123.2,-19.7,dE,-40
NGC 0300,26.36,0.29,1.87,Cepheids,2002A&A...389...19P,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.361,0.05,1.87,Cepheids,2005ApJ...628..695G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.365,0.05,1.87,Cepheids,2005ApJ...628..695G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.359,0.05,1.87,Cepheids,2005ApJ...628..695G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.37,0.05,1.88,Cepheids,2005ApJ...628..695G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.389,0.05,1.9,Cepheids,2005ApJ...628..695G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.43,0.065,1.93,Cepheids,2005ApJ...634.1020B,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.43,0.04,1.93,Cepheids,2004AJ....128.1167G,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.45,0.32,1.95,Cepheids,2002A&A...389...19P,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.48,0.03,1.98,Cepheids,2006ApJS..165..108S,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.5,0.07,2,Cepheids,2001ApJ...553...47F,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.52,0.03,2.01,Cepheids,1997ApJ...491...13K,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.53,0.05,2.02,Cepheids,2004ApJ...608...42S,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.53,0.07,2.02,Cepheids,2001ApJ...553...47F,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.54,0.29,2.03,Cepheids,2002A&A...389...19P,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.55,0.12,2.04,Cepheids,2001ApJ...548..564W,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.66,0.1,2.15,Cepheids,1992ApJ...396...80F,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.67,...,2.16,Cepheids,1991PASP..103..933M,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.86,0.04,2.36,Cepheids,1997hipp.conf..629P,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,27.2,0.04,2.75,Cepheids,1997hipp.conf..629P,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.3,0.03,1.82,TRGB,2006ApJ...638..766R,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.36,0.02,1.87,TRGB,2006ApJ...638..766R,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.56,0.07,2.05,TRGB,2004AJ....127.1472B,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.65,0.07,2.14,TRGB,2004ApJ...608...42S,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.9,0.4,2.4,PNLF,1996A&A...306....9S,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.68,0.14,2.17,GCLF,2006AJ....131.1416N,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.71,0.14,2.2,GCLF,2006AJ....131.1416N,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,26.89,0.14,2.39,GCLF,2006AJ....131.1416N,54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
NGC 0300,27.04,...,2.56,Tully-Fisher,LEDA [April 2006],54:53.5,-37:41:03.8,299.2,-79.4,SAS7,98
IC 1601,35.45,0.16,123,Sosies,2002A&A...393...57T,55:34.8,-24:09:12.2,140.6,-86.9,S?,3642
UGC 00607,36.417*,0.044,185,SNIa,2006ApJ...647..501P,58:44.9,+12:44:54.1,125.7,-50.1,S..6?,11753
UGC 00607,36.67*,0.18,208,SNIa,2004ApJ...607..665R,58:44.9,+12:44:54.1,125.7,-50.1,S..6?,11753
UGC 00607,36.75,0.14,224,SNIa,2005ApJ...624..532R,58:44.9,+12:44:54.1,125.7,-50.1,S..6?,11753
Sculptor Dwarf Elliptical,19.8,...,0.091,TRGB,2000glg..book.....V,00:09.4,-33:42:32.5,287.5,-83.2,E?,115
Sculptor Dwarf Elliptical,19.71,...,0.088,RR Lyrae,1995A&AS..112..407K,00:09.4,-33:42:32.5,287.5,-83.2,E?,115
UGC 00646,33.979*,0.112,61.4,SNIa,2006ApJ...647..501P,03:26.4,+32:14:14.5,125.9,-30.6,SB?,5474
UGC 00646,34.18*,0.23,67.4,SNIa,2004ApJ...607..665R,03:26.4,+32:14:14.5,125.9,-30.6,SB?,5474
UGC 00646,34.52,0.14,80.2,SNIa,2005ApJ...624..532R,03:26.4,+32:14:14.5,125.9,-30.6,SB?,5474
LGS 3,24.08,0.3,0.655,TRGB,2001ApJ...562..713M,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,24.43,0.07,0.769,TRGB,2005MNRAS.356..979M,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,24.43,0.08,0.769,TRGB,1997AJ....114..680A,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,24.54,0.21,0.81,TRGB,1995AJ....110.1129L,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,23.96,0.12,0.619,Red Clump,2001ApJ...562..713M,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,23.93,0.07,0.61,CMD,2001ApJ...562..713M,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
LGS 3,23.98,0.1,0.625,Horizontal Branch,2001ApJ...562..713M,03:55.0,+21:53:06.0,126.8,-40.9,I?,-149
"IC 1613; DDO 008",24.06,0.15,0.65,Cepheids,2001ApJ...553...47F,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.17,0.07,0.682,Cepheids,2001AcA....51..221U,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.19,0.11,0.689,Cepheids,2002A&A...389...19P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.19,0.15,0.69,Cepheids,2001ApJ...553...47F,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.2,0.2,0.692,Cepheids,2002A&A...389...19P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.2,0.02,0.692,Cepheids,2001AcA....51..221U,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.23,0.19,0.701,Cepheids,2002A&A...389...19P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.25,0.14,0.708,Cepheids,2004ApJ...608...42S,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.29,0.14,0.721,Cepheids,2001ApJ...548..564W,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.29,0.04,0.721,Cepheids,2006ApJ...642..216P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.31,0.06,0.728,Cepheids,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.31,0.06,0.73,Cepheids,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.38,0.08,0.752,Cepheids,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.42,0.13,0.77,Cepheids,1991PASP..103..933M,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.42,0.12,0.766,Cepheids,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.42,0.13,0.766,Cepheids,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.45,0.15,0.776,Cepheids,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.49,...,0.791,Cepheids,1999ApJ...522..250S,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.53,0.05,0.805,Cepheids,1997hipp.conf..629P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.6,0.05,0.832,Cepheids,1997hipp.conf..629P,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.2,0.07,0.692,TRGB,2001AcA....51..221U,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.28,0.05,0.718,TRGB,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.29,0.12,0.721,TRGB,1999AJ....118.1657C,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.31,0.06,0.728,TRGB,2004ApJ...608...42S,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.32,0.09,0.731,TRGB,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",26.04,...,1.61,Tully-Fisher,LEDA [April 2006],04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.1,0.27,0.661,RR Lyrae,1992AJ....104.1072S,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.18,0.07,0.685,RR Lyrae,2001AcA....51..221U,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.3,0.05,0.724,RR Lyrae,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.32,0.16,0.731,RR Lyrae,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.23,0.06,0.701,Red Clump,2001AcA....51..221U,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.27,0.08,0.714,Red Clump,2003AJ....125.1261D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
"IC 1613; DDO 008",24.3,0.09,0.724,Red Clump,2001ApJ...550..554D,04:47.8,+02:07:04.0,129.7,-60.6,IBS9,-152
UGC 00685,28.4,0.14,4.79,TRGB,2002AJ....123.1307M,07:22.4,+16:41:04.4,128.4,-46,SA.9,271
UGC 00685,28.7,1,5.5,BS,1999A&AS..134..317H,07:22.4,+16:41:04.4,128.4,-46,SA.9,271
UGC 00685,28.89,0.2,6,BS,1998A&AS..133..181M,07:22.4,+16:41:04.4,128.4,-46,SA.9,271
NGC 0382,33.96*,0.22,60.9,SNIa,2006ApJ...645..488W,07:23.9,+32:24:14.4,126.8,-30.3,E...*,5369
NGC 0382,34.129*,0.133,65.9,SNIa,2006A&A...447...31A,07:23.9,+32:24:14.4,126.8,-30.3,E...*,5369
NGC 0382,34.246*,0.013,69.5,SNIa,2006ApJ...647..501P,07:23.9,+32:24:14.4,126.8,-30.3,E...*,5369
NGC 0382,34.41*,0.24,74.9,SNIa,2004ApJ...607..665R,07:23.9,+32:24:14.4,126.8,-30.3,E...*,5369
NGC 0382,34.72,0.14,87.9,SNIa,2005ApJ...624..532R,07:23.9,+32:24:14.4,126.8,-30.3,E...*,5369
kkh 005,28.15,...,4.26,TRGB,2003A&A...398..479K,07:32.5,+51:26:25.6,125.5,-11.4,Ir?,239
NGC 0404,27.43,0.25,3.06,TRGB,2002A&A...389..812K,09:27.0,+35:43:04.2,127,-27,LAS-*,111
NGC 0404,27.67,...,3.42,TRGB,2003A&A...401..863T,09:27.0,+35:43:04.2,127,-27,LAS-*,111
NGC 0404,27.41,0.1,3.03,SBF,2003ApJ...583..712J,09:27.0,+35:43:04.2,127,-27,LAS-*,111
NGC 0404,27.57,0.1,3.27,SBF,2001ApJ...546..681T,09:27.0,+35:43:04.2,127,-27,LAS-*,111
NGC 0404,26.64,...,2.13,FP,LEDA [April 2006],09:27.0,+35:43:04.2,127,-27,LAS-*,111
And V,24.44,0.08,0.773,TRGB,2005MNRAS.356..979M,10:17.1,+47:37:41.0,126.2,-15.1,dSph,-227
And V,24.53,0.2,0.805,TRGB,2004ApJ...612L.121Z,10:17.1,+47:37:41.0,126.2,-15.1,dSph,-227
And V,24.55,0.12,0.813,TRGB,1998AJ....116.2287A,10:17.1,+47:37:41.0,126.2,-15.1,dSph,-227
MCG -01-04-008,34.67,0.07,85.9,Sosies,2002A&A...393...57T,10:53.7,-05:49:17.5,136.1,-68.2,SAS5*,5808
NGC 0448,32.41,0.35,30.3,SBF,2001ApJ...546..681T,15:16.5,-01:37:34.3,136.6,-63.9,L..-./,1978
NGC 0452,34.24,0.14,70.5,Sosies,2002A&A...393...57T,16:14.8,+31:02:01.8,129.2,-31.5,SB.2,5109
And II,24.05,0.06,0.646,TRGB,2004MNRAS.350..243M,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
And II,24.07,0.06,0.652,TRGB,2005MNRAS.356..979M,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
And II,24.11,0.02,0.665,RR Lyrae,2004AJ....127..318P,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
And II,23.83,0.42,0.583,CMD,1993AJ....106.1819K,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
And II,23.83,0.46,0.583,Horizontal Branch,2004MNRAS.350..243M,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
And II,24.17,0.06,0.682,Horizontal Branch,2000AJ....119..705D,16:29.8,+33:25:09.0,128.9,-29.2,E?,-40
NGC 0470,33.52,0.17,50.6,Sosies,2002A&A...393...57T,19:44.9,+03:24:35.8,136.6,-58.7,SAT3,2449
ESO 352- G 057,34.33,0.15,73.5,SBF,2001ApJ...559..584A,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
ESO 352- G 057,34.31*,0.22,71.5,SNIa,2006ApJ...645..488W,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
ESO 352- G 057,34.576*,0.12,80.8,SNIa,2006A&A...447...31A,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
ESO 352- G 057,34.614*,0.01,82.2,SNIa,2006ApJ...647..501P,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
ESO 352- G 057,34.70*,0.23,85.5,SNIa,2004ApJ...607..665R,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
ESO 352- G 057,34.97,0.14,98.6,SNIa,2005ApJ...624..532R,22:02.4,-34:11:48.4,261.9,-80.3,LBS0P,5566
NGC 0494,34.17,0.06,68.2,Sosies,2002A&A...393...57T,22:55.4,+33:10:26.0,130.5,-29.2,S..2,5604
NGC 0495,34.197*,0.043,68.2,SNIa,2006ApJ...647..501P,22:56.0,+33:28:18.0,130.4,-28.9,PSBS0P*,4260
NGC 0495,34.29*,0.25,71.1,SNIa,2006ApJ...645..488W,22:56.0,+33:28:18.0,130.4,-28.9,PSBS0P*,4260
NGC 0495,34.7,0.3,87.1,SNIa,2005ApJ...624..532R,22:56.0,+33:28:18.0,130.4,-28.9,PSBS0P*,4260
MCG +01-04-044,33.27,0.14,45.1,SNIa,2005ApJ...624..532R,23:19.5,+07:47:42.0,136.5,-54.2,Sm,2783
NGC 0514,32.68,0.6,34.4,Sosies,2002A&A...393...57T,24:03.9,+12:55:02.6,135.1,-49.2,SXT5,2568
NGC 0524,31.8,...,22.9,PNLF,2004AAS...205.6906J,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,31.99,0.14,25,GCLF,2001AJ....121.2974L,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,31.74,0.2,22.3,SBF,2003ApJ...583..712J,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,31.9,0.2,24,SBF,2001ApJ...559..584A,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,31.9,0.2,24,SBF,2001ApJ...546..681T,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,32.37*,0.19,29.6,SNIa,2006ApJ...645..488W,24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
NGC 0524,31.86,...,23.6,FP,LEDA [April 2006],24:47.7,+09:32:19.8,136.5,-52.5,LAT+,2509
MCG -01-04-039,36.28,...,180,SNII opt,1996ApJ...466..911E,25:04.3,-04:38:59.2,144,-66.1,S,14014
NGC 0523,33.7,0.11,55,Sosies,2002A&A...393...57T,25:20.8,+34:01:29.0,130.9,-28.3,P,4911
NGC 0536,33.96,0.12,61.9,Sosies,2002A&A...393...57T,26:21.8,+34:42:10.9,131,-27.6,SBR3,5338
IC 0126,34.29*,0.23,70.8,SNIa,2004ApJ...607..665R,29:47.9,-01:59:01.5,144.6,-63.2,S?,5755
IC 0126,34.31*,0.03,71.4,SNIa,2006ApJ...647..501P,29:47.9,-01:59:01.5,144.6,-63.2,S?,5755
IC 0126,34.86,0.14,93.8,SNIa,2005ApJ...624..532R,29:47.9,-01:59:01.5,144.6,-63.2,S?,5755
NGC 0578,31.34,...,18.5,Tully-Fisher,2003astro.ph.10284R,30:29.1,-22:40:02.5,188.3,-80.1,SXT5,1616
NGC 0578,31.34,...,18.5,Tully-Fisher,2003astro.ph.10284R,30:29.1,-22:40:02.5,188.3,-80.1,SXT5,1616
NGC 0578,31.5,...,20,Tully-Fisher,LEDA [Nov 2006],30:29.1,-22:40:02.5,188.3,-80.1,SXT5,1616
NGC 0584,31.52,0.2,20.1,SBF,2001ApJ...546..681T,31:20.8,-06:52:05.0,149.8,-67.6,E.4,1899
NGC 0584,31.59,0.2,20.8,SBF,2001MNRAS.327.1004B,31:20.8,-06:52:05.0,149.8,-67.6,E.4,1899
NGC 0584,31.38,0.41,18.9,FP,2001MNRAS.327.1004B,31:20.8,-06:52:05.0,149.8,-67.6,E.4,1899
NGC 0584,31.57,...,20.6,FP,LEDA [April 2006],31:20.8,-06:52:05.0,149.8,-67.6,E.4,1899
UGC 01087,33.79*,0.25,56.4,SNIa,2006ApJ...645..488W,31:26.6,+14:16:39.0,137.3,-47.5,SAT5,4580
UGC 01087,34.157*,0.056,66.8,SNIa,2006ApJ...647..501P,31:26.6,+14:16:39.0,137.3,-47.5,SAT5,4580
UGC 01087,34.17,0.14,68.2,SNIa,2005ApJ...624..532R,31:26.6,+14:16:39.0,137.3,-47.5,SAT5,4580
UGC 01087,34.43*,0.26,75.8,SNIa,2004ApJ...607..665R,31:26.6,+14:16:39.0,137.3,-47.5,SAT5,4580
UGC 01104,29.39,0.4,7.55,BS,1996A&AS..119..499S,32:42.5,+18:19:01.6,136.5,-43.5,I..9,775
NGC 0596,31.69,0.1,21.8,SBF,2001ApJ...546..681T,32:52.1,-07:01:54.6,150.9,-67.6,E+..P*,1923
NGC 0596,31.71,0.1,21.9,SBF,2001MNRAS.327.1004B,32:52.1,-07:01:54.6,150.9,-67.6,E+..P*,1923
NGC 0596,31.59,0.41,20.8,FP,2001MNRAS.327.1004B,32:52.1,-07:01:54.6,150.9,-67.6,E+..P*,1923
"M33; NGC 0598",23.83,0.35,0.583,Cepheids,2004ASPC..310...95B,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.47,0.11,0.783,Cepheids,2004ApJ...608...42S,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.47,0.13,0.783,Cepheids,2001ApJ...548..564W,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.5,0.05,0.794,Cepheids,1997ApJ...491...13K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.52,0.14,0.802,Cepheids,2004MNRAS.350..243M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.52,0.15,0.802,Cepheids,2002ApJ...565..959L,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.52,0.14,0.802,Cepheids,2002ApJ...565..959L,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.56,0.08,0.82,Cepheids,2001ApJ...553...47F,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.62,0.08,0.84,Cepheids,2001ApJ...553...47F,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.63,0.09,0.84,Cepheids,1991PASP..103..933M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.64,0.06,0.847,Cepheids,2006ApJS..165..108S,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.64,0.09,0.847,Cepheids,1991ApJ...372..455F,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.7,0.13,0.871,Cepheids,2002A&A...389...19P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.7,...,0.871,Cepheids,1991MNRAS.250..438M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.77,0.39,0.899,Cepheids,2002A&A...389...19P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.83,0.12,0.925,Cepheids,2002A&A...389...19P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.85,0.09,0.933,Cepheids,1997ApJ...491...13K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",25.01,0.03,1,Cepheids,1997hipp.conf..629P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",25.1,0.03,1.05,Cepheids,1997hipp.conf..629P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.5,0.06,0.794,TRGB,2004MNRAS.350..243M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.54,0.06,0.809,TRGB,2005MNRAS.356..979M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.64,0.15,0.847,TRGB,2004A&A...423..925G,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.69,0.07,0.867,TRGB,2004AJ....128..224T,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.81,0.04,0.916,TRGB,2004ApJ...608...42S,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.81,0.13,0.916,TRGB,2004MNRAS.350..243M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.81,0.04,0.916,TRGB,2002AJ....123..244K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.99,0.04,0.995,TRGB,2002AJ....123..244K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.86,0.11,0.938,PNLF,2004ApJ...614..167C,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.59,...,0.828,Tully-Fisher,2003astro.ph.10284R,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",25.05,...,1.02,Tully-Fisher,LEDA [April 2006],33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.32,...,0.73,PM,2005Sci...307.1440B,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.52,...,0.8,Maser,2004ApJ...615..702A,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.67,0.08,0.859,RR Lyrae,2006AJ....132.1361S,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.71,...,0.875,RR Lyrae,1992MmSAI..63..331L,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.76,0.04,0.895,Red Clump,2002AJ....123..244K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.8,0.14,0.912,Red Clump,2004MNRAS.350..243M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.8,0.04,0.912,Red Clump,2002AJ....123..244K,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.4,0.2,0.76,Mira/LPV,1990ApJ...349..503M,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
"M33; NGC 0598",24.85,0.13,0.93,Mira/LPV,2000MNRAS.313..271P,33:50.9,+30:39:35.8,133.6,-31.3,SAS6,-46
kkh 006,27.86,...,3.73,TRGB,2006AJ....131.1361K,34:51.6,+52:05:30.1,129.7,-10.2,Ir,223
NGC 0625,27.95,0.07,3.89,TRGB,2003AJ....126.2806C,35:04.6,-41:26:10.3,273.7,-73.1,SBS9$/,312
NGC 0625,28.05,...,4.07,TRGB,2004AJ....127.2031K,35:04.6,-41:26:10.3,273.7,-73.1,SBS9$/,312
NGC 0625,27.1,...,2.63,Tully-Fisher,LEDA [April 2006],35:04.6,-41:26:10.3,273.7,-73.1,SBS9$/,312
NGC 0625,27.16,...,2.7,Tully-Fisher,2003A&A...404...93K,35:04.6,-41:26:10.3,273.7,-73.1,SBS9$/,312
"M74; NGC 0628",29.32,0.4,7.31,BS,1996A&AS..119..499S,36:41.8,+15:47:00.5,138.6,-45.7,SAS5,753
"M74; NGC 0628",27.45,...,3.09,Tully-Fisher,LEDA [April 2006],36:41.8,+15:47:00.5,138.6,-45.7,SAS5,753
