Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
1ES 1215+303,38.93,...,541,BL LAC M,2005ApJ...635..173S,17:52.1,+30:07:00.6,188.9,82.1,BLLAC,36460
NGC 4251,31.46,0.2,19.6,SBF,2001ApJ...546..681T,18:08.3,+28:10:31.1,202.9,82.6,LB..$/,1008
IC 3104,26.78,0.18,2.27,TRGB,2002A&A...389..812K,18:46.1,-79:43:33.8,301.4,-17,IBS9*,243
"M106; NGC 4258",29.32,...,7.3,Cepheids,2002ApJ...566..833C,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.37,0.06,7.48,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.38,0.06,7.51,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.38,0.06,7.53,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.39,0.06,7.56,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.4,0.06,7.59,Cepheids,2001ApJ...553..562N,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.4,0.06,7.59,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.44,0.06,7.71,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.44,0.07,7.73,Cepheids,2001ApJ...553...47F,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.44,0.06,7.73,Cepheids,2003A&A...411..361K,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.45,0.07,7.76,Cepheids,2002A&A...389...19P,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.47,0.09,7.8,Cepheids,2002ApJ...566..833C,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
